acquiesce|menyetujui diam-diam
acquire|memperoleh
acquire skill|menguasai keterampilan
acreage|luas lahan
acrid|pedas menyengat
act|bertindak
act in addition to|merangkap
act of play|babak lakon
acting|pelaksana sementara
actions|tindakan
actor|aktor
actual|sebenarnya
adapt|menyesuaikan
add|menambah
addition|penambahan
adhere|melekat
adhere to|berpegang pada
adjoin|berbatasan
adjust|menyetel
adjusted|tersetel
administer|mengurus
admirable|mengagumkan
admiral|laksamana
admire|mengagumi
admit|mengakui
admonish|menegur
adore|memuja
adorn|menghias
adroit|cekatan
advance|maju
advance on|menyerbu
advancing|memajukan
advantage|keuntungan
adventurous|penuh petualangan
advise|menasihati
affair|urusan
affection|kasih sayang
affiliated|berafiliasi
affinity|kecocokan
affix a seal|membubuhkan cap
affixed|terlampir
afflicted|menderita
Africa|Afrika
after|sesudah
again|lagi
age|usia
aggression|agresi
agile|gesit
agree|setuju
agree upon|menyepakati
agree with|sependapat dengan
agreeable|menyenangkan
agreement|kesepakatan
agriculture|pertanian
ahead|di depan
aid|bantuan
aide|ajudan
aim (a gun) at|membidik
air|udara
airplane|pesawat terbang
akin|serupa
alas|sayang sekali
album|album
alcohol|alkohol
alert|waspada
alienate|menjauhkan
alike|sama
all|semua
all the more|apalagi
alliance|persekutuan
allot|membagikan
allow|mengizinkan
allowance|tunjangan
allure|memikat
almanac|penanggalan
alms|sedekah
aloes|gaharu
alone|sendirian
already|sudah
also|juga
alternate|bergantian
alternation|pergantian
alternative|pilihan lain
althea|bunga althea
always|selalu
amass|mengumpulkan
amazed|takjub
ambassador|duta besar
ambition|cita-cita
amidst|di tengah
among|di antara
amount|jumlah
amusement|hiburan
an official|pejabat
analyze|menganalisis
ancestor|leluhur
ancestral offering receptacle|wadah sesaji leluhur
ancient Japan|Jepang kuno
ancient peace-preservation centers|pos keamanan zaman kuno
and|dan
and again|dan lagi
and so forth|dan sebagainya
anger|amarah
angle|sudut
angling|memancing
angry|marah
animal|hewan
animal sacrifice|kurban hewan
annals|kronik
annexed|dianeksasi
annotate|memberi anotasi
announce|mengumumkan
annoy|mengganggu
annoyed|kesal
another|yang lain
answer|jawaban
answer (phone)|menjawab telepon
anti-|anti-
antiquity|zaman purba
antlers|tanduk rusa
anxiety|kecemasan
apartment|apartemen
aperture|celah
apologize|meminta maaf
apparition|penampakan
appeal to|memohon kepada
appear|muncul
appearance|penampilan
appellation|sebutan
append|melampirkan
applaud|bertepuk tangan
appoint|menunjuk
appraise|menaksir
appreciate|menghargai
apprehend|menangkap
approach|mendekati
appropriate|pantas
approve|menyetujui
approx|kira-kira
approx. thirty-six sq ft|sekitar 3,3 meter persegi
approximately|kira-kira
approximation|perkiraan
apricot|aprikot
arbor|pondok taman
arc|busur
arch|lengkung
archery|panahan
ardent|berapi-api
arena|arena
argue|berdebat
argument|argumen
arm|lengan
armed with|bersenjatakan
armor|baju zirah
arms|senjata
arms & legs|tangan dan kaki
army|tentara
army (incl. counter)|tentara (juga kata bantu bilangan)
aroused|terbangkitkan
arrange|menata
arrangement|penataan
arranging|penyusunan
arrears|tunggakan
arrest|menangkap
arrival|kedatangan
arrive|tiba
arrive at|sampai di
arrow|anak panah
arrows|anak panah
art|seni
artful smile|senyum memikat
article|barang
artisan|perajin
arts|kesenian
as a result of|akibat dari
as for|adapun
as if|seolah-olah
as is|apa adanya
as much as possible|sebisa mungkin
as well as|serta
ascend|naik
ashes|abu
Asia|Asia
ask|bertanya
aspect|segi
aspire|bercita-cita
aspire to|mendambakan
assault|serangan
assemble|merakit
assent|persetujuan
assets|aset
assist|membantu
assistant|asisten
associate|rekan
association|perkumpulan
assume (a name)|memakai nama
assume a responsibility|memikul tanggung jawab
assumed (name)|nama samaran
assurance|jaminan
astray|tersesat
astringent|sepat
at|di
at the mercy of (the waves)|terombang-ambing
atmosphere|suasana
atrocious|keji
attach|memasang
attack|serangan
attack the rebellious|menumpas pemberontak
attain|mencapai
attempt|mencoba
attend|menghadiri
attend on|melayani
attending|kehadiran
attention|perhatian
attire|pakaian
attitude|sikap
audacious|berani nekat
audience|penonton
audience (with king)|audiensi dengan raja
augment|menambah
auspicious|membawa untung
Australia|Australia
authority|wewenang
autumn|musim gugur
avenue|jalan raya
average|rata-rata
avert|menghindarkan
avoid|menghindari
awake|terjaga
award|penghargaan
award to|menganugerahkan
awe|kekaguman
axe|kapak
axe radical (no. 69)|radikal kapak (no. 69)
axis|poros
back|punggung
backbone|tulang punggung
bacteria|bakteri
bad|buruk
bad habit|kebiasaan buruk
bad looking|berwajah buruk
bad luck|sial
badge|lencana
bag|tas
baggage|bagasi
bagpipe|bagpipa
bake|memanggang
balance|keseimbangan
bale|bal
ball|bola
ballad|balada
ballot|surat suara
balmy|sejuk nyaman
bamboo|bambu
bamboo grass|rumput bambu
ban|larangan
banana|pisang
banish|mengasingkan
bank|bank
banner|panji
banquet|jamuan
bar-tending|meracik minuman
barbarian|orang barbar
barely|nyaris tidak
bargain|tawar-menawar
bark|kulit kayu
barley|jelai
baron|baron
barracks|barak
barrel-head|tutup tong
barrier|penghalang
base|dasar
base(ball)|base (bisbol)
based on|berdasarkan
bases|pangkalan
bashful|pemalu
basin|baskom
bask in|berjemur dalam
bastard|anak haram
bath|mandi
bathe|berendam
battle|pertempuran
battle array|formasi tempur
bay|teluk
be absorbed in|tenggelam dalam
be aggravated|memburuk
be anxious|cemas
be arbitrary|sewenang-wenang
be associated with|berkaitan dengan
be at ease|merasa tenang
be at peace|damai
be attached to|terikat pada
be aware of|menyadari
be beyond|melampaui
be blinded|dibutakan
be born|lahir
be bright|cerah
be careful|berhati-hati
be clear|jernih
be conducive to|mendukung
be content|puas
be defeated|kalah
be delayed|tertunda
be depressed|murung
be diligent|rajin
be exposed (film)|terekspos (film)
be favored with|dianugerahi
be filled up|terisi penuh
be fragrant|harum
be frightened|ketakutan
be happy|bahagia
be hazy|berkabut
be ill|sakit
be in disorder|kacau
be in high spirits|bersemangat
be indignant|geram
be inferior|kalah mutu
be inferior to|lebih rendah dari
be informed|diberi tahu
be invigorated|bergairah
be left out|tersisih
be limited to|terbatas pada
be luxuriant|rimbun
be madly in love|mabuk cinta
be mistaken for|disangka
be moderate|sedang
be modest|rendah hati
be of use|berguna
be offended|tersinggung
be perplexed|bingung
be photographed|terfoto
be pregnant|hamil
be proud|bangga
be ruined|hancur
be sad|sedih
be scented|semerbak
be seasoned|berbumbu
be sharp|tajam
be sorry|menyesal
be sparing of|berhemat
be submerged|terendam
be sufficient|cukup
be surprised|terkejut
be suspicious|curiga
be watered|disiram
be worse|lebih buruk
beach|pantai
beans|kacang
bear|beruang
bear (a burden)|memikul beban
bear a grudge|menyimpan dendam
bear in mind|mengingat
bear up|bertahan
beast|binatang buas
beat|memukul
beat (music)|ketukan
beautiful|indah
beautiful as a jewel|indah bagai permata
beautiful black jewel|permata hitam yang indah
beautiful woman|wanita cantik
beauty|keindahan
because|karena
beckon|melambai memanggil
become|menjadi
become attached to|menjadi terikat pada
become distressed|menjadi susah hati
become employed|mendapat pekerjaan
become experienced|menjadi berpengalaman
become furious|menjadi murka
become serious|menjadi serius
become silent|terdiam
becoming|pantas
bed|tempat tidur
beetle brow|alis tebal menonjol
before|sebelum
beforehand|sebelumnya
befriend|berteman dengan
beg|memohon
begin|memulai
beginning|permulaan
beguile|memperdaya
behave|berperilaku
behavior|perilaku
behind|di belakang
being helped|mendapat bantuan
belch|bersendawa
believe|percaya
bell|lonceng
belly|perut
belong|termasuk
below|di bawah
belt|sabuk
bench|bangku
bend|menekuk
bend down|membungkuk
benefit|manfaat
benevolence|kebajikan
bequeath|mewariskan
beseech|memohon sangat
besides|selain itu
besiege|mengepung
best|terbaik
best regards|salam hormat
bestow|menganugerahkan
bestow on|melimpahkan kepada
better|lebih baik
between|di antara
bewitch|menyihir
beyond|di seberang
bias|kecondongan
biased|berat sebelah
bid|menawar
big|besar
big around|besar melingkar
big brother|kakak laki-laki
Big Dipper|Bintang Biduk
billows|gelombang besar
bin|tempat penyimpanan
bind|mengikat
birch|pohon birch
bird|burung
birds|burung
birth|kelahiran
bitter|pahit
bitterness|kepahitan
black|hitam
black ink|tinta hitam
blackened eyebrows|alis yang dihitamkan
blade|bilah
blame|menyalahkan
blank|kosong
blaze|kobaran api
blend|memadukan
blessed|diberkati
blessedness|keberkahan
blessing|berkah
blind|buta
blind man|orang buta
blink|berkedip
block|balok
blood|darah
bloody|berdarah
bloom|mekar
blossom|bunga
blow|meniup
blow out|memadamkan
blue|biru
blunt|tumpul
blurred|kabur
boar|babi hutan
board|papan
boast|menyombongkan
boasting|kesombongan
boat|perahu
body|tubuh
bog|rawa
bog rhubarb|fuki
boil|merebus
boiled rice|nasi
boisterous|riuh
bold|berani
bolt|baut
bolt (door)|palang pintu
bomb|bom
bond|ikatan
bone|tulang
bonfire|api unggun
book|buku
bookmark|pembatas buku
boom|ledakan
boon|anugerah
boots|sepatu bot
border|perbatasan
bored|bosan
borough|kota praja
borrow|meminjam
borrowing|peminjaman
bosom|dada
both|keduanya
bottle|botol
bottom|dasar
bottom price|harga terendah
bough|dahan
boulder|batu besar
boulevard|jalan lebar
bound|terikat
boundary|batas
bounding-box|kotak pembatas
bountiful|melimpah
bout|babak
bow|busur
bow (archery, violin)|busur (panah, biola)
bowels|usus
bowl|mangkuk
bowstring|tali busur
box|kotak
boy (ancient)|anak lelaki (kuno)
brace|penopang
bracing|menyegarkan
braid|kepang
brain|otak
branch|cabang
branch off|bercabang
branch radical (no. 65)|radikal cabang (no. 65)
brandish|mengacungkan
brave|berani
bravery|keberanian
brazen|tak tahu malu
Brazil|Brasil
bread|roti
break|patah
break down|rusak
break up (land)|membuka lahan
breakage|kerusakan
breast|dada
breasts|payudara
breath|napas
breathe|bernapas
breed|membiakkan
brevity|keringkasan
brew|menyeduh
bribe|suap
bride|pengantin perempuan
bridegroom|pengantin laki-laki
bridge|jembatan
brief time|waktu singkat
bright|terang
brilliance|kecemerlangan
brilliant|cemerlang
brilliant fabric design|motif kain yang cemerlang
brilliant white luster of a gem|kilau putih permata
bring along|membawa serta
bring near|mendekatkan
bring up|membesarkan
bring with|membawa
brink|tepi jurang
broad|luas
broaden|memperluas
broadminded|berpikiran luas
brocade|kain brokat
brood over|merenungi
broth|kaldu
brown|cokelat
bruise|memar
brunt|hantaman
brush|sikat
brush (teeth)|menyikat gigi
brush-stroke|goresan kuas
bubbles|gelembung
buck|rusa jantan
bud|tunas
Buddha|Buddha
Buddhist food|makanan biara
Buddhist priest|biksu
Buddhist sect|aliran Buddha
Buddhist surplice|jubah biksu
Buddhist temple|kuil Buddha
bug|serangga
build|membangun
building|gedung
bulge|tonjolan
bullet|peluru
bunch|seikat
bundle|bundel
bung|sumbat
bungling|ceroboh
bunting|bendera hias
burdensome|memberatkan
bureau|biro
bureaucrat|birokrat
burglar|pencuri
burn|membakar
burning|terbakar
burr|duri
burst open|merekah
bury|mengubur
bush clover|semanggi semak
business|bisnis
bustle|kesibukan
busy|sibuk
but|tetapi
butcher|tukang daging
butterbur|fuki
butterfly|kupu-kupu
buy|membeli
buzzer|bel
by all means|dengan segala cara
by means of|dengan cara
bystander|orang yang menonton
cable|kabel
cakes|kue
calamity|malapetaka
calculate|menghitung
calendar|kalender
call|memanggil
call for|meminta
call on|mengunjungi
call out to|menyerukan kepada
call upon|menyeru
calling card|kartu nama
calm|tenang
calm down|menenangkan diri
calyx|kelopak
camellia|bunga kamelia
camp|perkemahan
campaign|kampanye
camphor tree|pohon kamper
can|kaleng
Canada|Kanada
canal|kanal
cancel|membatalkan
candy|permen
cane|tongkat
cannon|meriam
cap|topi
capability|kesanggupan
capable|cakap
capacity|kapasitas
cape|tanjung
capital|ibu kota
capsize|terbalik
captivating|memesona
captive|tawanan
capture|menawan
captured|tertangkap
car|mobil
carapace|tempurung
cardinal|utama
care|perhatian
care for|merawat
careful inquiry|penyelidikan cermat
carefulness|kehati-hatian
cargo|muatan
carp|ikan mas
carpenter|tukang kayu
carrier|pengangkut
carry|membawa
carry (in hand)|menjinjing
carry in hand|menjinjing
carry out|melaksanakan
carry through|menuntaskan
cartoon|kartun
carve|mengukir
carving|ukiran
cascade|air terjun bertingkat
case|kasus
case (law, grammar)|kasus (hukum, tata bahasa)
cash|uang tunai
casket|peti
casting|pengecoran
castle|kastil
cat|kucing
catalpa tree|pohon katalpa
catch|menangkap
catch (cold, fire)|terkena (pilek, api)
catch (cold)|terkena pilek
cause|sebab
cave|gua
cave in|ambruk
cavity|rongga
cedar|pohon aras
celebrate|merayakan
cellar|ruang bawah tanah
censure|mencela
cent|sen
center|pusat
center of things|inti persoalan
cereals|biji-bijian
ceremony|upacara
certain|pasti
certificate|sertifikat
cessation|penghentian
chafe|bergesekan
chain|rantai
challenge|tantangan
chamber|bilik
champion|juara
chance|kesempatan
chances|peluang
change|perubahan
change (mind)|berubah pikiran
chant|melantunkan
chapter|bab
char|hangus
character|watak
charcoal|arang
charge|biaya
charging ahead of others|melesat mendahului
charity|amal
charm|pesona
charming|memesona
chart|bagan
chase|mengejar
chase away|mengusir
chastise|menghukum
chastity|kesucian
cheap|murah
cheat|curang
check|memeriksa
checkup|pemeriksaan
cheer|sorak
cheer up|menghibur
cheerful|ceria
chemical|bahan kimia
cherish|menyayangi
cherry|sakura
chess piece|buah catur
chest|dada
chestnut|berangan
chic|anggun
chick|anak ayam
chicken|ayam
chief|kepala
child|anak
childbirth|persalinan
childhood|masa kanak-kanak
chill|dingin
chimes|lonceng bernada
China|Tiongkok
Chinese parasol tree|pohon parasol Tiongkok
Chinese unicorn|kirin
chinquapin|pohon shii
chirp|berkicau
chisel|pahat
chivalry|jiwa ksatria
choice|pilihan
choose|memilih
chop|mencincang
chord|akor
chronicle|kronik
chrysanthemum|krisan
chunk|bongkah
chutzpah|kenekatan
cinnabar|merah cinnabar
cinnamon tree|pohon kayu manis
cipher|sandi
circle|lingkaran
circuit|sirkuit
circumference|keliling
circumstance|keadaan
circumstances|keadaan
cistern|bak air
citron|jeruk sitrun
city|kota
civilian life|kehidupan sipil
clamor|keriuhan
clan|marga
clap|bertepuk
clapper|pemukul lonceng
clarify|memperjelas
clarinet|klarinet
class|kelas
class (first)|kelas (satu)
class (genus)|kelas (genus)
clause|klausa
clean|bersih
cleanse|membersihkan
clear|jelas
clear (the land)|membuka lahan
clear out|mengosongkan
clear up|mencerahkan
cleat|penambat
clever|pandai
cleverness|kepandaian
client|klien
cliff|tebing
climate|iklim
climax|puncak
climb up|memanjat
clip|menjepit
clique|kelompok kecil
clock hand|jarum jam
clod|gumpalan tanah
close|menutup
closed|tertutup
closing|penutupan
clot|gumpalan
cloth|kain
clothes|pakaian
clothing|busana
cloud|awan
cloud up|mendung
cloudy weather|cuaca mendung
club|kelab
clumsy|kikuk
cluster|gugusan
co-|bersama
coach|pelatih
coal|batu bara
coarse|kasar
coating|lapisan
coax|membujuk
cobweb|sarang laba-laba
coconut tree|pohon kelapa
cocoon|kepompong
code|kode
coerce|memaksa
coffin|peti mati
cog|gerigi
coil|gulungan
coil around|melilit
coin|koin
cold|dingin
cold (beer, person)|dingin (bir, orang)
collapse|runtuh
collar|kerah
colleague|rekan kerja
collect|mengumpulkan
collect taxes|memungut pajak
collective|kolektif
collide|bertabrakan
collision|tabrakan
collusion|persekongkolan
color|warna
colorful|berwarna-warni
coloring|pewarnaan
colt|anak kuda
column|kolom
come|datang
come after|menyusul
come down|turun
come out|keluar
come to an end|berakhir
comet|komet
comfort|kenyamanan
comfortable|nyaman
coming|kedatangan
coming & going|keluar masuk
coming to an end|mendekati akhir
comma-design|motif tomoe
command|perintah
commander|panglima
commanding respect|berwibawa
commandment|perintah suci
commence|memulai
comment|komentar
commit (suicide)|melakukan (bunuh diri)
committee|panitia
common|umum
commoner|rakyat jelata
commonplace|biasa saja
communicate|berkomunikasi
community|komunitas
commute|pulang pergi kerja
companion|teman seperjalanan
companions|para teman
company|perusahaan
comparatively|secara relatif
compare|membandingkan
compared with|dibandingkan dengan
comparison|perbandingan
compensate|mengganti rugi
compensation|ganti rugi
compete with|bersaing dengan
compilation|penyusunan
complain of pain|mengeluh sakit
complete|lengkap
completed poem|puisi yang rampung
completion|penyelesaian
complexity|kerumitan
comply|menuruti
comply with|mematuhi
compose|menggubah
composing|penggubahan
composition|karangan
compound|senyawa
comrade|kawan seperjuangan
concave|cekung
conceal|menyembunyikan
conceited|sombong
concentrate on|memusatkan diri pada
concentrated|terpusat
concept|konsep
concern|kepedulian
concern oneself|ikut campur
concern oneself with|menaruh perhatian pada
concerned|khawatir
concerning|mengenai
conclusion|kesimpulan
concurrently|sekaligus
condemn|mengecam
condescend|merendahkan diri
condition|kondisi
conditions|syarat
condolences|belasungkawa
conduct|perilaku
conduct (business)|menjalankan usaha
conduct oneself well|berkelakuan baik
confer|berunding
confer on|menganugerahkan kepada
confess|mengaku
confine to a room|mengurung di kamar
confirm|memastikan
conflict|konflik
conform|menyesuaikan diri
confront|menghadapi
Confucian|Konfusius
confuse|membingungkan
confused|bingung
confusion|kekacauan
congeal|membeku
congratulate|mengucapkan selamat
congratulations|selamat
congregate|berkumpul
conical cap|topi kerucut
conjecture|dugaan
conjunction (astronomy)|konjungsi (astronomi)
connect|menghubungkan
connection|hubungan
conquer|menaklukkan
consent|persetujuan
consequently|akibatnya
conserve|melestarikan
consider|mempertimbangkan
considerate|penuh tenggang rasa
consideration|pertimbangan
consign|menitipkan
conspire|bersekongkol
constancy|keteguhan
constellations|rasi bintang
constitution|konstitusi
constrict|menyempitkan
construct|membangun
construction|konstruksi
consult|berkonsultasi
consult with|berunding dengan
consultation|konsultasi
consume|mengonsumsi
contact|kontak
contain|memuat
container|wadah
contempt|penghinaan
contend|berselisih
contend for|memperebutkan
contented|puas
contents|isi
continent|benua
continually|terus-menerus
continuation|kelanjutan
continue|melanjutkan
contract|kontrak
contraption|alat rakitan
contrast|kontras
control|kendali
convenience|kemudahan
convert|mengubah
convex|cembung
convey|menyampaikan
conveyor|pengangkut
cook|memasak
cool|sejuk
cooperation|kerja sama
copper|tembaga
copulate|kawin
copy|salinan
coral|karang
cord|tali
cordial|ramah
core|inti
cork|gabus
corner|sudut
cornered|terpojok
cornerstone|batu penjuru
corps|korps
correct|benar
correction|koreksi
correspond to|sesuai dengan
corridor|koridor
corrupt|korup
cost|biaya
cottage|pondok
cotton|kapas
councillor|anggota dewan
count|menghitung
counter for armor, suits, sets of furniture|penggolong zirah, setelan, set perabot
counter for articles|penggolong barang
counter for articles, clauses, paragraphs, etc.|penggolong pasal, klausa, paragraf, dsb.
counter for bags|penggolong karung
counter for beds|penggolong tempat tidur
counter for birds, rabbits|penggolong burung dan kelinci
counter for bonds|penggolong obligasi
counter for book scrolls|penggolong gulungan naskah
counter for books|penggolong buku
counter for bows & stringed instruments|penggolong busur dan alat musik dawai
counter for branches|penggolong ranting
counter for bundles|penggolong ikat
counter for cannons|penggolong meriam
counter for carriages (e.g., in a train)|penggolong gerbong
counter for chapters (of a book)|penggolong bab
counter for cupfuls|penggolong cangkir
counter for days|penggolong hari
counter for drinks|penggolong minuman
counter for equestrians|penggolong penunggang kuda
counter for fish|penggolong ikan
counter for flat thin objects or sheets|penggolong lembaran tipis
counter for flat things|penggolong benda pipih
counter for guns, tools, leaves or cakes of something|penggolong senjata, perkakas, lembar atau bongkah
counter for gunshots|penggolong tembakan
counter for haiku|penggolong haiku
counter for houses|penggolong rumah
counter for images|penggolong arca
counter for large animals|penggolong hewan besar
counter for letters, notes, documents, etc.|penggolong surat, nota, dokumen, dsb.
counter for lights|penggolong lampu
counter for long cylindrical things|penggolong benda panjang silindris
counter for machines|penggolong mesin
counter for machines and vehicles|penggolong mesin dan kendaraan
counter for meal courses|penggolong hidangan
counter for occurrences|penggolong kejadian
counter for pairs|penggolong pasang
counter for pairs of footwear|penggolong pasang alas kaki
counter for ships|penggolong kapal
counter for small animals|penggolong hewan kecil
counter for small plants|penggolong tanaman kecil
counter for songs and poems|penggolong lagu dan puisi
counter for sons|penggolong anak lelaki
counter for steps|penggolong anak tangga
counter for storeys of a building|penggolong lantai gedung
counter for suits of clothing|penggolong setelan pakaian
counter for tatami mats|penggolong tatami
counter for texts (or book scrolls)|penggolong naskah
counter for tiny particles|penggolong butiran
counter for vehicles|penggolong kendaraan
counter for wheels and flowers|penggolong roda dan bunga
counter for years|penggolong tahun
counterfeit|palsu
country|negara
county|kabupaten
couple|pasangan
courage|keberanian
course|jalur
court rank|pangkat istana
courteous|santun
courts|pengadilan
courtyard|halaman dalam
cover|menutupi
covetousness|ketamakan
cow|sapi
crack|retak
craft|kerajinan
crag|karang terjal
craggy|terjal
cram school|bimbingan belajar
cramped|sempit
crane|bangau
crank|engkol
crash|tabrakan
craving|keinginan kuat
craw|tembolok
crazy|gila
cream|krim
create|menciptakan
creator|pencipta
credit|kredit
creek|anak sungai
cremate|mengkremasi
crest|lambang keluarga
crest (wave)|puncak gelombang
crime|kejahatan
criminal|penjahat
criminal investigation|penyidikan
crimson|merah tua
criticism|kritik
criticize|mengkritik
crooked|bengkok
crop|panen
crop tax|pajak hasil bumi
cross|menyeberang
cross over|melintasi
crowd|kerumunan
crowded|padat
crown|mahkota
crude|kasar
cruel|kejam
cruelty|kekejaman
cruise|pelayaran
crumble|remuk
crush|menghancurkan
cry|menangis
cryptomeria|pohon sugi
crystal|kristal
cubic shaku|shaku kubik
cultivate|mengolah tanah
cultural progress|kemajuan budaya
curdle|menggumpal
cure|menyembuhkan
curiosity|rasa ingin tahu
curious|penasaran
curl up|meringkuk
current|arus
curriculum|kurikulum
curse|kutukan
curtail|memangkas
curtain|tirai
cushion|bantalan
custody|penahanan
custom|adat
customer|pelanggan
customs|bea cukai
cut|memotong
cut fine|mencincang halus
cut off|memutus
cut out (pattern)|menggunting pola
cutoff|pemutusan
cutting|potongan
cylinder|silinder
daimyo|daimyo
dainty|mungil elok
dairy products|produk susu
damage|kerusakan
damp|lembap
dance|tarian
dangerous|berbahaya
dare|berani
daring|nekat
dark|gelap
dark blue|biru tua
dark red|merah gelap
darkness|kegelapan
darling|kesayangan
darning|menisik
dart|anak panah kecil
date|tanggal
daub|melumuri
daughter|anak perempuan
dawn|fajar
day|hari
day off|hari libur
daybreak|dini hari
daytime|siang hari
deal with|menangani
dealer|pedagang
dealer (cards)|pembagi kartu
dealing in|berdagang
death|kematian
death anniversary|haul
death of a priest|wafatnya biksu
debate|perdebatan
debt|utang
decameron|sepuluh hari
decay|membusuk
deceased|almarhum
deceit|tipu daya
deceive|menipu
decide|memutuskan
decimal point|koma desimal
decision|keputusan
declension|deklinasi
decline|menolak
decorate|menghias
decoration|hiasan
decrease|berkurang
decree|dekret
dedicate|mendedikasikan
deed|perbuatan
deep|dalam
deep and broad (water)|dalam dan luas
deep red|merah pekat
deer|rusa
defeat|kekalahan
defect|cacat
defend|membela
defense|pertahanan
defer|menangguhkan
defile|mencemari
defy|menantang
degenerate|merosot
degree|derajat
deify|mendewakan
deliberate|sengaja
deliberately|dengan sengaja
delicate|halus
delicious|lezat
delight|kegembiraan
deliver|mengantarkan
delude|memperdaya
deluge|banjir bandang
delusion|khayalan
delve|menggali dalam
demand|tuntutan
demolish|merobohkan
demolition|pembongkaran
demon|iblis
den|sarang
denomination|denominasi
density (pop)|kepadatan penduduk
deny|menyangkal
depart|berangkat
departed|telah tiada
department|departemen
departure|keberangkatan
depend|bergantung
depend on|bergantung pada
deplete|menguras
deplore|menyesalkan
deposit|simpanan
depravity|kebejatan
descend|menuruni
descend to|turun ke
descendants|keturunan
descendent|keturunan
descent|penurunan
describe|menggambarkan
desert|gurun
design|rancangan
desire|hasrat
desk|meja
despatch|pengiriman
despise|memandang rendah
dessicate|mengeringkan
destiny|takdir
destitute|melarat
destitution|kemelaratan
destroy|menghancurkan
detach|melepaskan
detailed|terperinci
detain|menahan
deter|mencegah
determine|menentukan
detest|membenci
detestable|menjijikkan
develop|mengembangkan
deviate|menyimpang
devil|setan
devote|mengabdikan
dew|embun
diagnose|mendiagnosis
diagonal|diagonal
diagram|diagram
dialect|dialek
diameter|diameter
diarrhea|diare
dice|dadu
die|mati
differ|berbeda
difference|perbedaan
different|berbeda
difficult|sulit
dig|menggali
dignified|berwibawa
dignity|martabat
digress|melantur
dike|tanggul
dilate|melebar
diligence|ketekunan
diligent|tekun
dilute|mengencerkan
dilute (acid)|mengencerkan (asam)
diminish|menyusut
dip|mencelupkan
direct descent (non-bastard)|keturunan sah
direction|arah
director|direktur
dirty|kotor
disadvantage|kerugian
disappear|menghilang
disarm|melucuti senjata
disaster|bencana
discard|membuang
discern|membedakan
discharge|melepaskan
discipline|disiplin
disclose|mengungkapkan
discontinue|menghentikan
discourse|wacana
discreet|bijak menahan diri
discrepancy|ketidaksesuaian
discriminating|jeli membedakan
discuss|membahas
disease|penyakit
disgrace|aib
disguise|penyamaran
dish|piring
dishonor|penghinaan
disjoin|memisahkan
dislike|tidak suka
dismantle|membongkar
dismissal|pemecatan
disorder|kekacauan
dispatch|pengiriman
disperse|membubarkan
display|memajang
dispose of|menyingkirkan
disposition|watak
dispossess|merampas
dispute|perselisihan
disseminate|menyebarluaskan
dissolve|melarutkan
distance|jarak
distant|jauh
distend|mengembang
distinguished|terkemuka
distract|mengalihkan perhatian
distress|kesusahan
distribute|membagikan
district|distrik
distrust|ketidakpercayaan
disturb|mengganggu
ditch|parit
diverge|bercabang
divert|mengalihkan
divide|membagi
divination|ramalan
divining|meramal
division (x/3)|pembagian
divorce|cerai
do|melakukan
do away with|meniadakan
do in spite of|nekat melakukan
do something for|melakukan untuk
do up hair|menata rambut
do wrong|berbuat salah
docile|penurut
docility|kepatuhan
